Lat (°),Lon (°),Planting_Month (month),Elevation (m),Slope (deg),clay (%),nitrogen (g/kg),phh2o (pH),sand (%),silt (%),soc (g/kg),Temp_Mean (°C),Rain_Std_Dev (mm),Humidity_Mean (%),Solar_Rad_Mean (MJ/m2/day),Max_Dry_Months (months),Net_Water_01 (mm),Net_Water_02 (mm),Net_Water_03 (mm),Net_Water_04 (mm),Net_Water_05 (mm),Net_Water_06 (mm),Net_Water_07 (mm),Net_Water_08 (mm),Net_Water_09 (mm),Net_Water_10 (mm),Net_Water_11 (mm),Net_Water_12 (mm),Crop_Label,Soil_Texture_Class,VPD_Proxy (kPa),Plant_Available_Water (index),Dry_Season_Deficit (mm),Peak_Rain_Month,Rain_Concentration_Index,Acidification_Risk (index),Temp_Lapse_Adjustment (°C)
11.5,108.414,5,594,3.64,30.5,39,5.7,39.5,30,42.4,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.259,20.59,7,0.333,2.818.361,19.339
11.502,107.617,5,446,3.64,31.9,36.8,5.1,33.7,34.4,46.3,25.44,4.33,82.47,17.7,12,-3.98,-4.45,-4.47,-4.24,0.37,4.29,8.47,1.81,5.78,2.43,-2.37,-3.66,Coffee,Clay Loam,0.57,0.277,23.17,7,0.366,4.119.143,22.541
11.506,107.566,5,353,3.64,33.7,29.2,5.1,31.9,34.3,38,25.44,4.33,82.47,17.7,12,-3.98,-4.45,-4.47,-4.24,0.37,4.29,8.47,1.81,5.78,2.43,-2.37,-3.66,Coffee,Clay Loam,0.57,0.27,23.17,7,0.366,4.119.143,23.146
11.507,107.932,5,775,3.64,34,35.1,5.4,31.6,34.4,37.8,23.2,3.85,84.54,17.7,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.27,20.59,7,0.333,3.468.752,18.162
11.507,108.406,6,655,3.64,28.5,37,5.7,40.2,31.3,44.1,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.259,20.59,7,0.333,2.818.361,18.942
11.508,107.57,6,367,3.64,34.8,31.9,5.1,32.1,33.1,38.9,25.44,4.33,82.47,17.7,12,-3.98,-4.45,-4.47,-4.24,0.37,4.29,8.47,1.81,5.78,2.43,-2.37,-3.66,Coffee,Clay Loam,0.57,0.271,23.17,7,0.366,4.119.143,23.054
11.51,108.128,6,1133,3.64,36.3,37.7,5.1,34.2,29.6,42,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.27,20.59,7,0.333,4.119.143,15.836
11.512,107.86,5,734,3.64,35.1,34,5.3,31.8,33.1,40.8,23.2,3.85,84.54,17.7,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.274,20.59,7,0.333,3.685.549,18.429
11.516,108.102,5,1111,3.64,35.8,42.9,5.4,32.3,31.9,37.1,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.268,20.59,7,0.333,3.468.752,15.978
11.519,107.985,5,915,3.64,34.2,39.3,5.4,31,34.8,36.8,23.2,3.85,84.54,17.7,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.27,20.59,7,0.333,3.468.752,17.252
11.522,108.319,6,965,3.64,34.5,39.2,5.6,35.9,29.6,45.2,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.271,20.59,7,0.333,3.035.158,16.928
11.528,107.73,6,842,3.64,33.4,42.9,5.4,34.9,31.8,35.2,25.44,4.33,82.47,17.7,12,-3.98,-4.45,-4.47,-4.24,0.37,4.29,8.47,1.81,5.78,2.43,-2.37,-3.66,Coffee,Clay Loam,0.57,0.259,23.17,7,0.366,3.468.752,19.967
11.529,107.781,5,792,3.64,36,39.5,5.5,36.5,27.5,35.9,25.44,4.33,82.47,17.7,12,-3.98,-4.45,-4.47,-4.24,0.37,4.29,8.47,1.81,5.78,2.43,-2.37,-3.66,Coffee,Clay Loam,0.57,0.256,23.17,7,0.366,3.251.955,20.292
11.53,108.131,6,1389,3.64,35.9,49.2,5.1,35,29.1,57.9,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.291,20.59,7,0.333,4.119.143,14.172
11.538,107.541,6,193,3.64,32.5,25.6,5.4,36.5,31,33.8,25.44,4.33,82.47,17.7,12,-3.98,-4.45,-4.47,-4.24,0.37,4.29,8.47,1.81,5.78,2.43,-2.37,-3.66,Coffee,Clay Loam,0.57,0.253,23.17,7,0.366,3.468.752,24.186
11.539,107.867,6,769,3.64,35.5,40.2,5.4,32.8,31.8,42.5,23.2,3.85,84.54,17.7,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.274,20.59,7,0.333,3.468.752,18.202
11.542,108.114,6,1029,3.64,34.4,39.2,5.6,32.8,32.7,45.5,23.2,3.85,84.54,18.81,12,-3.06,-4.21,-4.3,-4.18,1.21,3.58,6.86,1.88,6.08,0.96,-1.99,-2.85,Coffee,Clay Loam,0.44,0.278,20.59,7,0.333,3.035.158,16.511
